SUP_ID,STA_NM_ANFR,NAT_ID,latitude,longitude,SUP_NM_HAUT,COM_CD_INSEE
170960,0780030405,999999999,49.06166666666666,1.5508333333333333,12,78337
249711,0782700188,38,48.94277777777778,2.031388888888889,"33,7",78123
268074,0782290274,38,48.98861111111111,1.7016666666666667,32,78362
268078,0782290276,23,48.726111111111116,1.896388888888889,11,78220
1045572,0782290296,38,48.927499999999995,2.193333333333333,23,78311
281186,0782290300,17,48.921388888888885,2.197222222222222,"14,5",78311
596263,0782700285,38,48.77111111111111,2.043611111111111,"18,5",78423
596263,0780990035,38,48.77111111111111,2.043611111111111,"18,5",78423
305346,0782700194,38,48.94027777777777,2.167777777777778,16,78586
299175,0782290324,26,48.720555555555556,1.8827777777777779,30,78220
305789,0782700283,38,48.80166666666666,2.1286111111111112,16,78646
311180,0780030588,38,48.77111111111111,2.070555555555556,11,78297
312429,0782290330,26,48.7625,1.975277777777778,20,78208
312446,0780030596,17,48.849444444444444,2.15,9,78126
311276,0782750621,38,48.779444444444444,2.2144444444444447,23,78640
311182,0780030591,42,48.975833333333334,1.9841666666666666,13,78643
316742,0782290338,17,48.919999999999995,2.019722222222222,30,78498
333561,0782700301,38,48.805277777777775,2.1422222222222222,"18,5",78646
329685,0782290363,23,48.68194444444444,2.0105555555555554,15,78162
330082,0782290365,48,48.99444444444445,1.8141666666666667,15,78267
336549,0780030634,17,48.79361111111111,1.5983333333333334,15,78310
345176,0782750657,38,48.78527777777778,2.058333333333333,"19,2",78297
345885,0782290383,17,49.00083333333333,1.6308333333333334,12,78531
348249,0782700292,26,48.79944444444444,1.9905555555555556,32,78165
348967,0780030645,17,48.77916666666667,2.2191666666666667,20,78640
349577,0782290384,10,48.91277777777778,2.1725,8,78124
465428,0780220069,26,49.038888888888884,1.6066666666666667,29,78255
465428,0782700289,26,49.038888888888884,1.6066666666666667,29,78255
465428,0782750429,26,49.038888888888884,1.6066666666666667,29,78255
465428,0782290443,26,49.038888888888884,1.6066666666666667,29,78255
352005,0782290385,17,48.85416666666667,2.136111111111111,21,78126
350369,0782700271,17,48.770833333333336,2.1475,"13,2",78322
365559,0780030651,17,48.894444444444446,2.1347222222222224,18,78650
365561,0780030652,17,48.74388888888889,2.0625,17,78356
365563,0780030653,17,48.96,1.855,10,78029
367360,0780030656,38,48.79805555555556,1.9711111111111113,23,78208
358173,0782290395,17,48.98888888888889,1.8955555555555554,18,78440
439613,0780220018,23,48.993611111111115,1.6805555555555554,50,78361
439613,0782290010,23,48.993611111111115,1.6805555555555554,50,78361
439613,0780300010,23,48.993611111111115,1.6805555555555554,50,78361
712785,0780220018,42,48.993611111111115,1.6805555555555554,3,78361
596877,0782700025,38,48.956944444444446,2.062222222222222,49,78005
596877,0782750040,38,48.956944444444446,2.062222222222222,49,78005
437760,0782290184,4,48.50666666666667,1.9183333333333332,33,78564
437760,0782700170,4,48.50666666666667,1.9183333333333332,33,78564
437760,0782750402,4,48.50666666666667,1.9183333333333332,33,78564
437760,0780990200,4,48.50666666666667,1.9183333333333332,33,78564
597229,0782290191,26,48.91416666666667,2.131111111111111,35,78418
597229,0782750706,26,48.91416666666667,2.131111111111111,35,78418
597229,0780990123,26,48.91416666666667,2.131111111111111,35,78418
597229,0782700514,26,48.91416666666667,2.131111111111111,35,78418
438816,0782290382,4,48.94583333333333,2.1302777777777777,42,78358
438816,0782700017,4,48.94583333333333,2.1302777777777777,42,78358
438816,0782750126,4,48.94583333333333,2.1302777777777777,42,78358
438816,0780030962,4,48.94583333333333,2.1302777777777777,42,78358
438816,0780990052,4,48.94583333333333,2.1302777777777777,42,78358
438819,0782290413,23,48.845,1.8727777777777779,29,78062
438819,0782700308,23,48.845,1.8727777777777779,29,78062
438819,0780990122,23,48.845,1.8727777777777779,29,78062
438819,0782750825,23,48.845,1.8727777777777779,29,78062
435203,0782290011,24,48.91583333333333,1.9002777777777777,83,78010
435203,0780220027,24,48.91583333333333,1.9002777777777777,83,78010
435203,0782700083,24,48.91583333333333,1.9002777777777777,83,78010
435203,0782750362,24,48.91583333333333,1.9002777777777777,83,78010
435203,0780990013,24,48.91583333333333,1.9002777777777777,83,78010
435203,0780031355,24,48.91583333333333,1.9002777777777777,83,78010
435203,0780160007,24,48.91583333333333,1.9002777777777777,83,78010
435203,0780031464,24,48.91583333333333,1.9002777777777777,83,78010
435203,0782050017,24,48.91583333333333,1.9002777777777777,83,78010
435203,0780031548,24,48.91583333333333,1.9002777777777777,83,78010
435203,0781670003,24,48.91583333333333,1.9002777777777777,83,78010
435203,0781670004,24,48.91583333333333,1.9002777777777777,83,78010
438503,0782750414,48,48.968611111111116,1.9663888888888887,30,78643
438503,0782290298,48,48.968611111111116,1.9663888888888887,30,78643
438547,0782750318,23,48.992222222222225,1.8461111111111113,21,78327
438547,0782290367,23,48.992222222222225,1.8461111111111113,21,78327
439424,0780130073,4,48.56638888888889,1.9430555555555555,48,78537
439424,0782290032,4,48.56638888888889,1.9430555555555555,48,78537
439424,0782700161,4,48.56638888888889,1.9430555555555555,48,78537
439424,0782750172,4,48.56638888888889,1.9430555555555555,48,78537
439424,0780130077,4,48.56638888888889,1.9430555555555555,48,78537
439424,0780130078,4,48.56638888888889,1.9430555555555555,48,78537
439424,0780990096,4,48.56638888888889,1.9430555555555555,48,78537
439424,0780220091,4,48.56638888888889,1.9430555555555555,48,78537
439887,0782290256,38,48.973333333333336,1.6913888888888888,20,78354
439887,0782750111,38,48.973333333333336,1.6913888888888888,20,78354
440548,0782290139,20,48.882222222222225,1.8616666666666668,34,78415
440548,0782700109,20,48.882222222222225,1.8616666666666668,34,78415
440548,0782750840,20,48.882222222222225,1.8616666666666668,34,78415
437034,0782750256,38,48.94,2.015,"20,5",78123
440799,0782290415,17,48.83777777777778,2.1005555555555557,13,78158
435210,0782290258,17,48.82277777777778,1.9947222222222223,19,78165
440167,0782290145,17,48.687777777777775,2.0605555555555553,55,78575
440167,0782700143,17,48.687777777777775,2.0605555555555553,55,78575
440167,0782750704,17,48.687777777777775,2.0605555555555553,55,78575
440208,0782700090,31,48.80361111111111,1.8147222222222223,"30,2",78389
440208,0782750450,31,48.80361111111111,1.8147222222222223,"30,2",78389
435366,0780220039,26,48.57777777777778,1.735,38,78209
435366,0782700243,26,48.57777777777778,1.735,38,78209
435366,0782750600,26,48.57777777777778,1.735,38,78209
435366,0782290402,26,48.57777777777778,1.735,38,78209
437711,0782700121,23,48.62555555555556,1.7694444444444444,35,78269
437711,0782750412,23,48.62555555555556,1.7694444444444444,35,78269
437711,0780460304,23,48.62555555555556,1.7694444444444444,35,78269
436667,0782700004,4,48.835,2.145,"49,6",78158
436667,0782750673,4,48.835,2.145,"49,6",78158
436667,0780990080,4,48.835,2.145,"49,6",78158
436673,0782290263,38,48.93805555555555,2.1805555555555554,"21,5",78586
436673,0782750269,38,48.93805555555555,2.1805555555555554,"21,5",78586
436673,0780990332,38,48.93805555555555,2.1805555555555554,"21,5",78586
439909,0780220040,23,48.993611111111115,1.625,31,78531
439909,0782290219,23,48.993611111111115,1.625,31,78531
439909,0782700328,23,48.993611111111115,1.625,31,78531
439909,0782750860,23,48.993611111111115,1.625,31,78531
